Rk	team	PAKE	PASE	Wins	Loss	W%	R64	R32	S16	E8	F4	F2	Champ	Top2	F4%	Champ%
112	Alabama St.	-0.0	-0.0	0	3	0.000	3	0	0	0	0	0	0	0	0.0%	0.0%
113	Radford	-0.0	-0.0	0	2	0.000	2	0	0	0	0	0	0	0	0.0%	0.0%
114	Eastern Illinois	-0.0	-0.1	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
115	Pepperdine	-0.1	-0.3	1	2	0.333	2	1	0	0	0	0	0	0	1.9%	0.1%
116	LSU	-0.1	0.2	10	9	0.526	9	5	3	1	1	0	0	0	41.2%	7.5%
117	Lafayette	-0.1	-0.1	0	2	0.000	2	0	0	0	0	0	0	0	0.0%	0.0%
118	Howard	-0.1	-0.0	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
119	Drexel	-0.1	-0.0	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
120	Liberty	-0.1	-0.3	1	4	0.200	4	1	0	0	0	0	0	0	0.5%	0.0%
121	Bryant	-0.1	-0.1	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
122	Murray St.	-0.1	-0.0	4	8	0.333	8	4	0	0	0	0	0	0	7.0%	0.3%
123	North Dakota	-0.1	-0.1	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
124	Houston	-0.1	2.4	19	8	0.704	8	7	6	3	2	1	0	4	95.0%	59.8%
125	Manhattan	-0.1	0.1	1	3	0.250	3	1	0	0	0	0	0	0	1.7%	0.1%
Rk	team	PAKE	PASE	Wins	Loss	W%	R64	R32	S16	E8	F4	F2	Champ	Top2	F4%	Champ%
126	Coastal Carolina	-0.1	-0.0	0	2	0.000	2	0	0	0	0	0	0	0	0.0%	0.0%
127	Cal Poly	-0.1	-0.0	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
128	Loyola MD	-0.1	-0.1	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
129	Northern Colorado	-0.1	-0.1	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
130	Detroit Mercy	-0.1	-0.1	0	1	0.000	1	0	0	0	0	0	0	0	0.2%	0.0%
131	UTSA	-0.1	-0.0	0	2	0.000	2	0	0	0	0	0	0	0	0.0%	0.0%
132	Binghamton	-0.1	-0.1	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
133	IU Indy	-0.1	-0.0	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
134	Nebraska Omaha	-0.1	-0.1	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
135	Longwood	-0.1	-0.2	0	2	0.000	2	0	0	0	0	0	0	0	0.0%	0.0%
136	Buffalo	-0.1	0.0	2	4	0.333	4	2	0	0	0	0	0	0	1.9%	0.1%
137	Texas Southern	-0.1	-0.2	0	5	0.000	5	0	0	0	0	0	0	0	0.0%	0.0%
138	Mount St. Mary's	-0.1	-0.0	0	3	0.000	3	0	0	0	0	0	0	0	0.0%	0.0%
139	Appalachian St.	-0.2	-0.2	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
140	San Diego St.	-0.2	0.2	13	13	0.500	13	6	4	1	1	1	0	1	48.1%	10.5%
141	Arizona	-0.2	-2.2	36	21	0.632	21	15	13	6	1	1	0	9	97.2%	55.9%
142	Washington St.	-0.2	-0.3	4	3	0.571	3	3	1	0	0	0	0	0	19.4%	2.4%
143	Northern Kentucky	-0.2	-0.3	0	3	0.000	3	0	0	0	0	0	0	0	0.0%	0.0%
144	Texas A&M	-0.2	0.6	12	11	0.522	11	9	3	0	0	0	0	0	49.2%	9.8%
145	High Point	-0.2	-0.2	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
146	Lipscomb	-0.2	-0.3	0	2	0.000	2	0	0	0	0	0	0	0	0.0%	0.0%
147	Southern Illinois	-0.2	-0.0	5	6	0.455	6	3	2	0	0	0	0	0	16.5%	2.2%
148	Boston University	-0.2	-0.0	0	2	0.000	2	0	0	0	0	0	0	0	0.0%	0.0%
149	Cal St. Bakersfield	-0.2	-0.1	0	1	0.000	1	0	0	0	0	0	0	0	0.4%	0.0%
